Name,Location,Experience,Skills,Stages,Objectives,Interests,Looking for
User39,"San Francisco, United States","['B2B', 'Coaching', 'Gaming', 'Mental Health/Wellness', 'SaaS']","['Analytics', 'Business Development', 'Operations']",['In early stages of exploring a specific idea'],"['Looking for co-founder', 'Looking for first employees']","['B2B', 'Ecommerce', 'Education', 'Gaming', 'Marketplace', 'SaaS', 'Social']","['Design', 'Finance', 'Marketing', 'Operations', 'Product Management', 'Software Engineering']"
User40,Other,"['Climate', 'Community', 'Future of Food', 'Future of Work', 'Government', 'Legal', 'People Ops', 'Talent']","['Business Development', 'C-Suite Executives', 'Growth']","['Built a basic prototype/MVP', 'In early stages of exploring a specific idea', 'Raising funding']",['Looking for co-founder'],"['Climate', 'Community', 'Future of Food', 'Future of Work', 'Government', 'Legal', 'Mental Health/Wellness', 'Social', 'Social Impact', 'Transportation & Travel']",NaN
User41,"Los Angeles, United States","['Consumer', 'Direct to Consumer', 'Ecommerce', 'Hardware', 'Mental Health/Wellness', 'Real Estate']","['Business Development', 'Operations', 'Sales']","['Built a basic prototype/MVP', 'Starting to onboard customers']","['Looking for co-founder', 'Looking for first employees']","['Climate', 'Community', 'Consumer', 'Direct to Consumer', 'Ecommerce', 'Future of Food', 'Future of Work', 'Mental Health/Wellness', 'Real Estate', 'Social', 'Transportation & Travel']","['Design', 'Growth', 'Marketing']"
User42,"Toronto, Canada","['B2B', 'Future of Work', 'Marketplace', 'SaaS', 'Venture']","['Business Development', 'C-Suite Executives', 'Operations']","['Built a basic prototype/MVP', 'Starting to onboard customers']",['Looking for first employees'],"['B2B', 'Biotech', 'Clean Technology', 'Future of Work', 'Mental Health/Wellness', 'Productivity', 'SaaS', 'Venture']","['Business Development', 'Growth', 'Product Management']"
User43,Singapore,"['B2B', 'Blockchain/Crypto', 'Education', 'SaaS']","['Business Development', 'Recruiting', 'Sales']",['Raising funding'],['Looking for co-founder'],"['Academia', 'B2B', 'Education', 'SaaS']","['Marketing', 'Software Engineering']"
User44,"Austin, United States","['Consumer', 'Direct to Consumer', 'Healthcare', 'Mental Health/Wellness']","['Growth', 'Marketing']",['Seed+'],"['Looking for co-founder', 'Looking for first employees']","['FinTech', 'Healthcare', 'Insurance']","['Customer Service', 'Design', 'Finance', 'Operations']"
User45,"Los Angeles, United States","['Consumer', 'Direct to Consumer', 'Ecommerce', 'Future of Food', 'Future of Work', 'Marketplace', 'Transportation & Travel', 'Venture']","['Growth', 'Operations', 'Product Management']","['In early stages of exploring a specific idea', 'Open to new ideas']",['Looking to join another team'],"['AI/ML', 'Blockchain/Crypto', 'Climate', 'Consumer', 'Direct to Consumer', 'Ecommerce', 'FinTech', 'Marketplace', 'No-Code', 'Real Estate']","['Finance', 'Software Engineering']"
User46,"New York, United States","['AI/ML', 'Analytics', 'Developer Tools', 'Venture']","['C-Suite Executives', 'Data Science', 'Software Engineering']","['In early stages of exploring a specific idea', 'Open to new ideas']",['Looking for co-founder'],"['AI/ML', 'B2B', 'Developer Tools', 'FinTech', 'Marketplace', 'Productivity', 'SaaS']",NaN
User47,"Los Angeles, United States","['Analytics', 'B2B', 'Consumer', 'Direct to Consumer', 'Enterprise', 'SaaS']","['Business Development', 'Operations', 'Sales']","['In early stages of exploring a specific idea', 'Open to new ideas']",['Looking for co-founder'],"['B2B', 'Community', 'Consumer', 'Direct to Consumer', 'Ecommerce', 'Mental Health/Wellness', 'SaaS']","['Design', 'Marketing', 'Product Management', 'Software Engineering']"
User48,"Dallas, United States","['Coaching', 'Drones', 'Education', 'Enterprise', 'Future of Work', 'Transportation & Travel']","['Business Development', 'Communications', 'Product Management']","['In early stages of exploring a specific idea', 'Open to new ideas']","['Looking for co-founder', 'Looking for first employees']","['Education', 'Future of Work', 'Real Estate', 'Venture']","['Analytics', 'Data Science', 'Growth', 'Software Engineering']"
User49,"New York, United States","['B2B', 'Blockchain/Crypto', 'SaaS']","['C-Suite Executives', 'Finance', 'Research']","['Built a basic prototype/MVP', 'Open to new ideas']",['Looking for co-founder'],"['B2B', 'Blockchain/Crypto', 'SaaS']","['Data Science', 'Software Engineering']"
User50,"San Francisco, United States","['B2B', 'Enterprise', 'SaaS', 'Venture']","['Design', 'Product Management', 'Sales']","['In early stages of exploring a specific idea', 'Open to new ideas']","['Looking for co-founder', 'Looking to join another team']","['B2B', 'Climate', 'Consumer', 'Direct to Consumer', 'Ecommerce', 'Enterprise', 'Future of Food', 'Future of Work', 'Healthcare', 'SaaS']","['Growth', 'Marketing', 'Software Engineering']"
User51,NaN,NaN,NaN,NaN,NaN,NaN,NaN
User52,"San Francisco, United States",[],[],[],[],NaN,"['Business Development', 'Design', 'Finance', 'Marketing']"
User53,"Sunnyvale, United States","['Community', 'Consumer', 'Direct to Consumer', 'Ecommerce', 'Legal', 'Social', 'Talent']","['Communications', 'Operations', 'Product Management']",['Built a basic prototype/MVP'],['Looking for co-founder'],"['Community', 'Consumer', 'Direct to Consumer', 'Ecommerce', 'Marketplace', 'Real Estate', 'Social', 'Venture']","['Growth', 'Software Engineering']"
User54,"San Francisco, United States","['Academia', 'B2B', 'Consumer', 'Future of Work', 'SaaS']","['Business Development', 'Communications', 'Product Management']","['In early stages of exploring a specific idea', 'Open to new ideas']","['Looking for co-founder', 'Looking to join another team']","['Community', 'Consumer', 'Direct to Consumer', 'Government', 'Marketplace', 'Mental Health/Wellness', 'No-Code', 'Productivity', 'Social', 'Transportation & Travel']","['Design', 'Software Engineering']"
User55,"London, United Kingdom","['B2B', 'Developer Tools', 'Enterprise', 'FinTech', 'Future of Work', 'No-Code', 'People Ops', 'SaaS']","['Business Development', 'Finance', 'Software Engineering']",['Raising funding'],['Looking for first employees'],"['B2B', 'Clean Technology', 'Developer Tools', 'FinTech', 'People Ops', 'SaaS']","['C-Suite Executives', 'Communications', 'Marketing', 'Product Management']"
User56,"New York, United States","['AI/ML', 'Analytics', 'B2B', 'Enterprise', 'SaaS']","['C-Suite Executives', 'Data Science', 'Product Management']","['Built a basic prototype/MVP', 'Starting to onboard customers']","['Looking for co-founder', 'Looking for first employees']","['AI/ML', 'Analytics', 'B2B', 'Enterprise', 'Hardware', 'Productivity', 'SaaS']","['Analytics', 'Business Development', 'C-Suite Executives', 'Data Science', 'Design', 'Growth', 'Hardware Engineering', 'Operations', 'Product Management']"
User57,"Lisbon, Portugal","['Blockchain/Crypto', 'FinTech', 'No-Code', 'Productivity']","['Product Management', 'Recruiting', 'Software Engineering']","['Built a basic prototype/MVP', 'Open to new ideas']",['Looking for co-founder'],"['Blockchain/Crypto', 'Community', 'Future of Work', 'No-Code', 'Real Estate']","['Design', 'Research']"
User58,"San Francisco, United States","['AI/ML', 'Academia', 'Analytics', 'B2B', 'Enterprise', 'SaaS', 'Science']","['Data Science', 'Research']",['Built a basic prototype/MVP'],['Looking for co-founder'],"['AI/ML', 'Academia', 'Analytics', 'B2B', 'Enterprise', 'SaaS']",['Software Engineering']
User59,"San Francisco, United States","['FinTech', 'Real Estate']","['Business Development', 'Finance']","['In early stages of exploring a specific idea', 'Open to new ideas']",['Looking for co-founder'],"['Blockchain/Crypto', 'Developer Tools', 'FinTech', 'Insurance', 'Real Estate', 'Venture']","['Business Development', 'Software Engineering']"
User60,Singapore,"['Analytics', 'Consumer', 'FinTech', 'Social']",['Software Engineering'],"['In early stages of exploring a specific idea', 'Open to new ideas']",['Looking for co-founder'],"['AI/ML', 'Analytics', 'B2B', 'Developer Tools', 'SaaS']","['Business Development', 'Design']"
User61,"New York, United States","['Community', 'Consumer', 'Direct to Consumer', 'Insurance', 'Legal', 'Mental Health/Wellness', 'Real Estate']","['Business Development', 'Operations', 'Sales']",['Open to new ideas'],"['Looking for co-founder', 'Looking to join another team']","['Blockchain/Crypto', 'Coaching', 'Community', 'Future of Work', 'Healthcare', 'Insurance', 'Legal', 'Mental Health/Wellness', 'No-Code', 'Real Estate']","['Analytics', 'Design']"
User62,"Berlin, Germany","['B2B', 'Community', 'Education', 'Future of Work', 'Marketplace', 'SaaS']","['Business Development', 'Finance', 'Growth']",['Built a basic prototype/MVP'],['Looking for co-founder'],"['B2B', 'Community', 'Education', 'Future of Work', 'Marketplace', 'SaaS']","['Design', 'Product Management', 'Software Engineering']"
User63,"Christchurch, new Zealand","['AI/ML', 'Coaching', 'Consumer', 'Direct to Consumer']","['Growth', 'Marketing', 'Product Management']","['In early stages of exploring a specific idea', 'Open to new ideas']","['Looking for co-founder', 'Looking to join another team']","['Coaching', 'Community', 'Education', 'Future of Work', 'Venture']","['Business Development', 'Design']"
User64,"Palo Alto, United States","['AI/ML', 'Analytics', 'B2B', 'Government', 'No-Code', 'SaaS', 'Transportation & Travel']","['Business Development', 'Data Science', 'Product Management']",['Open to new ideas'],"['Looking for co-founder', 'Looking to join another team']","['AI/ML', 'Analytics', 'B2B', 'Community', 'Consumer', 'Education', 'Enterprise', 'FinTech', 'Future of Work', 'No-Code', 'SaaS']",['Software Engineering']
User65,"Boston, United States","['Consumer', 'Direct to Consumer', 'Enterprise', 'Healthcare', 'Marketplace', 'Mental Health/Wellness', 'People Ops', 'Venture']","['Growth', 'Operations', 'Product Management']",['Built a basic prototype/MVP'],['Looking for co-founder'],"['Community', 'Consumer', 'Direct to Consumer', 'Enterprise', 'Healthcare', 'Marketplace', 'Mental Health/Wellness', 'Venture']","['Design', 'Marketing', 'Product Management', 'Software Engineering']"
User66,"Raleigh, United States","['AI/ML', 'Education', 'Gaming', 'IOT']","['Hardware Engineering', 'Software Engineering']","['Built a basic prototype/MVP', 'In early stages of exploring a specific idea']",['Looking for co-founder'],"['AI/ML', 'Consumer', 'Developer Tools', 'Education', 'Future of Work', 'Gaming', 'IOT', 'No-Code', 'VR/AR']","['Design', 'Product Management', 'Research']"
User67,"Bangalore, India","['Analytics', 'Community', 'Consumer', 'Gaming', 'People Ops', 'Social']","['Analytics', 'Product Management', 'Software Engineering']",['In early stages of exploring a specific idea'],"['Looking for co-founder', 'Looking for first employees']","['Consumer', 'Education', 'Future of Work', 'Gaming', 'Social']","['Business Development', 'Software Engineering']"
User68,"Los Angeles, United States","['Community', 'Future of Work', 'No-Code', 'Productivity']","['Communications', 'Marketing', 'Product Management']",['In early stages of exploring a specific idea'],['Looking for co-founder'],"['Academia', 'Community', 'Education', 'Future of Work', 'Productivity']","['Communications', 'Research']"
User69,"London, United Kingdom","['AI/ML', 'B2B', 'Enterprise', 'Insurance', 'SaaS', 'Transportation & Travel']","['Business Development', 'Data Science', 'Product Management']",['In early stages of exploring a specific idea'],"['Looking for co-founder', 'Looking for first employees']","['AI/ML', 'Community', 'Ecommerce', 'FinTech', 'No-Code', 'Social', 'Venture']","['Communications', 'Design', 'Finance', 'Marketing', 'Operations', 'Software Engineering']"
User70,"London, United Kingdom","['B2B', 'Blockchain/Crypto', 'FinTech', 'SaaS']","['Finance', 'Recruiting', 'Software Engineering']","['Built a basic prototype/MVP', 'In early stages of exploring a specific idea']",['Looking for co-founder'],"['Blockchain/Crypto', 'FinTech']","['Finance', 'Growth']"
User71,"Toronto, Canada","['AI/ML', 'B2B', 'Blockchain/Crypto', 'Clean Technology', 'Hardware', 'Robotics', 'SaaS']","['Product Management', 'Research', 'Software Engineering']","['Built a basic prototype/MVP', 'In early stages of exploring a specific idea', 'Open to new ideas']",['Looking to join another team'],"['AI/ML', 'B2B', 'Biotech', 'Blockchain/Crypto', 'Clean Technology', 'Enterprise', 'FinTech', 'Hardware', 'Robotics', 'SaaS']","['Business Development', 'Data Science', 'Product Management']"
User72,"London, United Kingdom","['B2B', 'Consumer', 'SaaS', 'Social']","['Business Development', 'Communications', 'Marketing']","['Raising funding', 'Starting to onboard customers']","['Looking for co-founder', 'Looking for first employees']","['B2B', 'Community', 'Productivity', 'SaaS']","['Business Development', 'Growth']"
User73,"New York, United States","['Analytics', 'Consumer', 'Enterprise', 'Productivity', 'Talent', 'Venture']","['Analytics', 'Business Development', 'Sales']",['In early stages of exploring a specific idea'],['Looking for co-founder'],"['Analytics', 'Real Estate']",['Analytics']
User74,New Zealand,"['B2B', 'Enterprise', 'Government', 'SaaS']","['Business Development', 'Hardware Engineering', 'Sales']",['In early stages of exploring a specific idea'],['Looking for co-founder'],"['B2B', 'Climate', 'Construction', 'Drones', 'Education', 'Enterprise', 'Government', 'SaaS']","['Design', 'Sales', 'Software Engineering']"
